,id,title,price,url,item_categories,affiliation
30,3605761,Mil Mi-24,15.02,https://www.cgtrader.com/3d-models/aircraft/helicopter/mil-mi-24-361d6b1c-85c7-4c78-8c15-e59562d15679,"['air', 'aircraft', 'airline', 'airplane', 'airport', 'aviate', 'copter', 'flight', 'fly', 'helicopter', 'helo', 'jet', 'military', 'phantom', 'quadcopter', 'quadrocopter', 'samsonite', 'service-helicopter', 'technology', 'westland']",
31,4122409,Passenger drones 2022 collection,49.0,https://www.cgtrader.com/3d-models/aircraft/helicopter/passenger-drones-2022-collection,"['aircraft', 'drone', 'future', 'futuristic', 'helicopter', 'passenger', 'quadcopter']",
32,3961429,Rockets And Gun Pods Collection,499.0,https://www.cgtrader.com/3d-models/aircraft/aircraft-part/rockets-and-gun-pods-collection,"['airborne', 'aircraft', 'aircraft-part', 'ataka', 'falanga', 'gun', 'helicopter', 'igla', 'jet', 'ka-50', 'ka-52', 'mi-35', 'missile', 'part', 'pod', 'rocket', 'russia', 'russian', 'scallion', 'soviet', 'ussr', 'weapon']",Autodesk 3ds Max
33,3900164,DJI Action 2,4.9,https://www.cgtrader.com/3d-models/electronics/video/dji-action-2-a6be8783-1719-4a6e-aed1-e41fbb1be9ea,"['2', '4k', 'action', 'aviation', 'camera', 'control', 'copter', 'dji', 'drone', 'electronics', 'extreme', 'gopro', 'hd', 'helicopter', 'phantom', 'pro', 'quad', 'remote', 'uhd', 'ultra', 'video']",Autodesk Maya
34,3536021,Black Drone,10.0,https://www.cgtrader.com/3d-models/electronics/other/black-drone-3d-model,"['aircraft', 'copter', 'dji', 'drone', 'electronics', 'flying', 'flying-helicopter', 'futuristic', 'helicopter', 'industrial', 'mavic', 'military', 'military-aircraft', 'mini', 'other', 'phantom', 'photography', 'professional', 'propeller', 'quad', 'quadcopter', 'quadcopter-drone', 'remote', 'technology']",
35,4398924,Spaceship - Spacecraft Phantom,7.0,https://www.cgtrader.com/3d-models/space/spaceship/spaceship-spacecraft-phantom-69673ca5-d9b0-4184-b95f-179777f122d6,"['3d', 'aircraft', 'airplane', 'camera', 'copter', 'drone', 'helicopter', 'inspire', 'military', 'model', 'of', 'part', 'phantom', 'quadcopter', 'quadrocopter', 'service', 'ship', 'space', 'spacecraft', 'spaceship']",
36,3198990,Military Pilot,19.99,https://www.cgtrader.com/3d-models/military/military-character/military-pilot,"['army', 'army-man', 'army-soldier', 'aviator', 'bdu', 'camouflage', 'character', 'combat', 'fighting', 'flying', 'flying-helicopter', 'helicopter', 'infantry', 'man', 'military', 'military-character', 'officer', 'pilot', 'short', 'sleeves', 'soldier', 'war', 'weapon']",
37,3178247,rescue boat red,15.99,https://www.cgtrader.com/3d-models/watercraft/military-watercraft/rescue-boat-red,"['boat', 'chopper', 'cruise', 'cruise-ship', 'fireman', 'fish', 'fish-fish', 'helicopter', 'marine', 'maritime', 'military', 'military-watercraft', 'nautical', 'navigation', 'ocean', 'rescue', 'sea', 'service-helicopter', 'ship', 'shipping', 'tugboat', 'vessel', 'watercraft', 'yacht']",
38,3984027,Bellanca Viking,20.0,https://www.cgtrader.com/3d-models/aircraft/private-aircraft/bellanca-viking-af9d0e21-0ca0-4eb4-ad4d-4c2bba103211,"['airbus', 'aircraft', 'ar', 'bellanca', 'boeing', 'drone', 'fighter', 'helicopter', 'jet', 'meta', 'metaverse', 'plane', 'private', 'private-aircraft', 'rc', 'uav', 'viking', 'vr']",
39,3673310,Curtiss P-40E Kittyhawk,17.0,https://www.cgtrader.com/3d-models/aircraft/historic-aircraft/curtiss-p-40e-kittyhawk,"['airbus', 'aircraft', 'boeing', 'fighter', 'fighter-jet', 'helicopter', 'historic', 'historic-aircraft', 'jet', 'jet-fighter', 'jet-plane', 'plane', 'rc', 'rc-helicopter', 'uav']",
40,3810838,Dewoitine D 510,15.0,https://www.cgtrader.com/3d-models/aircraft/historic-aircraft/dewoitine-d-510-2be0b36e-dfec-409a-b958-829f33a77dd3,"['airbus', 'aircraft', 'boeing', 'dewoitine', 'fighter', 'helicopter', 'historic', 'historic-aircraft', 'jet', 'plane', 'rc', 'uav']",
41,4087559,helicopters  Pack,69.0,https://www.cgtrader.com/3d-models/aircraft/helicopter/6-helicopters-in-1-package,"['air', 'air-plane', 'aircraft', 'airplane', 'airplane-wing', 'army', 'copter', 'drone', 'flight', 'h125', 'h135', 'helicopter', 'helicopters', 'jet', 'jet-fighter', 'military', 'military-aircraft', 'military-vehicle', 'plane', 'vehicle']",
42,3828038,Realistic Helicopter military,36.98,https://www.cgtrader.com/3d-models/military/other/realistic-helicopter,"['24a', 'aircraft', 'halo', 'heavy', 'helicopter', 'military', 'other', 'russia', 'russian', 'soviet', 'transport', 'ussr']",
43,3810927,Short Stirling,15.0,https://www.cgtrader.com/3d-models/aircraft/historic-aircraft/short-stirling-8f052fb2-2ffe-4a32-ab44-967c289cdd2b,"['airbus', 'aircraft', 'boeing', 'fighter', 'helicopter', 'historic', 'historic-aircraft', 'jet', 'plane', 'rc', 'short', 'stirling', 'uav']",
44,3820718,Heli-Pad Futuristic Sci-Fi  Armoured Vehicle,6.0,https://www.cgtrader.com/3d-models/vehicle/sci-fi-vehicle/heli-pad-futuristic-sci-fi-armoured-vehicle,"['armour', 'armoured', 'cargo', 'fi', 'future', 'heli', 'helicopter', 'large-truck', 'military-truck', 'personnel', 'sci', 'sci-fi-vehicle', 'transport', 'truck', 'van', 'vehicle']",Blender
45,3753471,Drone 01,3.0,https://www.cgtrader.com/3d-models/military/other/drone-01-sci-fi,"['aircraft', 'battle', 'circle', 'copter', 'drone', 'helicopter', 'killer', 'military', 'other', 'predator', 'quadcopter', 'quadcopter-drone', 'rc', 'rc-helicopter', 'remote', 'sci', 'sci-fi', 'war', 'weapon', 'weaponry']",
46,2198210,AS-350 Oklahoma City Police Animated,249.0,https://www.cgtrader.com/3d-models/aircraft/helicopter/as-350-oklahoma-city-police-animated,"['a-star', 'air', 'aircraft', 'animated', 'animation', 'as-350', 'as350', 'astar', 'city', 'department', 'division', 'ecureuil', 'eurocopter', 'h-125', 'h125', 'helicopter', 'n720kc', 'oklahoma', 'police', 'support', 'usa']",Autodesk 3ds Max
47,3464896,helicopter firefighter,16.0,https://www.cgtrader.com/3d-models/vehicle/military-vehicle/helicopter-firefighter,"['airplane', 'firefighter', 'game', 'helicopter', 'lowpoly', 'man', 'military', 'military-vehicle', 'police', 'pompie', 'vehicle']",
48,4396436,Spaceship - Spacecraft Phantom,10.0,https://www.cgtrader.com/3d-models/space/spaceship/spaceship-spacecraft-phantom,"['3d', 'aircraft', 'airplane', 'camera', 'copter', 'drone', 'helicopter', 'inspire', 'military', 'model', 'of', 'part', 'phantom', 'quadcopter', 'quadcopter-drone', 'quadrocopter', 'ship', 'space', 'spacecraft', 'spaceship']",
49,99834,SH60 Helicopter,45.0,https://www.cgtrader.com/3d-models/aircraft/helicopter/sh60-helicopter,"['aircraft', 'fbx', 'games', 'h-60', 'helicopter', 'low', 'military', 'military-aircraft', 'poly', 'sh-60']",
50,3285405,FZ220 Rocket Launcher,20.0,https://www.cgtrader.com/3d-models/military/rocketry/fz220-rocket-launcher,"['helicopter', 'launcher', 'military', 'rocket', 'rocket-launcher', 'rocketry', 'weapon']",Autodesk 3ds Max
51,3909814,Sci-fi Drone with camera ,4.99,https://www.cgtrader.com/3d-models/aircraft/other/sci-fi-drone-eith-camera,"['aircraft', 'camera', 'copter', 'cyber', 'cyberpunk', 'drone', 'fly', 'flying', 'future', 'futuristic', 'helicopter', 'hellfire', 'other', 'quadcopter', 'remote', 'robot', 'sci-fi', 'science', 'space', 'spacecraft']",Blender
52,3915229,Airbus A300 Beluga,20.0,https://www.cgtrader.com/3d-models/aircraft/other/airbus-a300-beluga-d38bd5be-58ab-4094-96df-6d02c47e4ac3,"['a300', 'airbus', 'aircraft', 'ar', 'augmented', 'beluga', 'boeing', 'drone', 'fighter', 'helicopter', 'jet', 'meta', 'metaverse', 'other', 'plane', 'rc', 'reality', 'uav', 'virtual', 'vr']",
53,3975635,Embraer Phenom 300,20.0,https://www.cgtrader.com/3d-models/aircraft/jet/embraer-phenom-300-58f60b09-2dc8-4d0a-a25b-aaa3ee64938a,"['airbus', 'aircraft', 'boeing', 'drone', 'fighter', 'helicopter', 'jet', 'plane', 'rc', 'uav']",
54,3300171,Helicopter military,11.0,https://www.cgtrader.com/3d-models/aircraft/helicopter/helicopter-d0c6f3b9-f869-4079-a4cc-e65bf41e70b2,"['aircraft', 'airplane', 'army', 'comba', 'gun', 'helicopter', 'military', 'military-aircraft', 'modern', 'plane', 'weapon']",
55,3774853,Bell 412 Black,15.99,https://www.cgtrader.com/3d-models/aircraft/helicopter/bell-412-black,"['air', 'aircraft', 'airplane', 'copter', 'flight', 'fly', 'flying', 'helicopter', 'military', 'phantom', 'plane', 'quadcopter', 'sky', 'vehicle']",
56,3334160,Cartoon  Helicopter ,7.13,https://www.cgtrader.com/3d-models/aircraft/helicopter/cartoon-helicopter-36b7f3f2-f329-4c94-b784-475dc70226a8,"['air', 'aircraft', 'airplane', 'cartoon', 'cartoonish', 'child', 'flight', 'game', 'helicopter', 'icon', 'kid', 'low', 'military', 'military-aircraft', 'military-vehicle', 'pilot', 'plane', 'poly', 'propeller', 'toon', 'toy', 'vehicle']",Blender
57,4333803, Dropship helicopter ship   airship   dirigible areoboat ,9.0,https://www.cgtrader.com/3d-print-models/science/math/dropship-helicopter-ship-airship-dirigible-areoboat,"['aero', 'airship', 'areoboat', 'boat', 'dirigible', 'dropship', 'flying', 'helicopter', 'math', 'science', 'ship']",
58,85367,Futuristic Self Balancing Helicopter - Oblivion Concept,19.0,https://www.cgtrader.com/3d-models/aircraft/helicopter/futuristic-self-balancing-helicopter-oblivion-concept,"['aircraft', 'autocopter', 'chopper', 'copter', 'eurocopter', 'future', 'helicopter', 'vehicles']",SolidWorks
59,4082594,SCI-FI ATTACK DRONE,34.99,https://www.cgtrader.com/3d-models/military/other/sci-fi-attack-drone,"['aircraft', 'airplane', 'camera', 'drone', 'future', 'helicopter', 'military', 'military-aircraft', 'other', 'phantom', 'quadcopter', 'recon', 'reconnaissance', 'remote', 'robot', 'sci-fi', 'spy', 'uav', 'ucav', 'vehicle', 'weapon']",Substance Painter
60,3750189, Drone DJI,5.99,https://www.cgtrader.com/3d-models/vehicle/sci-fi-vehicle/drone-dji-c5554027-1642-4bce-b9a3-d235939b0abc,"['copter', 'dji', 'drone', 'fi', 'helicopter', 'quadcopter', 'quadcopter-drone', 'sci', 'sci-fi', 'sci-fi-vehicle', 'spire', 'vehicle']",
